kpi,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.370767521615225,11.671358898635695,16.716051794688113,26.00564274915637,48.27674122146251,123.89715185463497,637.1447803783332
return_on_capital_employed_pct,3.4650355799675934,7.9330115974842865,13.778429388875907,27.168802599650586,114.0749838577122,162.8640097686104,696.3924564542924
return_on_assets_pct,1.1402758683204666,2.477811221803989,6.208612241806171,13.788593414508584,22.61590775334045,61.726135967803295,317.793569434819
debt_to_equity,0.008129006675038002,0.058099743078219884,0.43491620111731844,1.5942703351364202,6.445624336310825,1.6688322682398915,2.863032616687874
revenue_cagr_5yr,6.447080048592069,8.440832121892061,11.836370175898114,17.183239296281414,21.08864867789759,12.982348405115285,7.349699151552715
pat_cagr_5yr,4.3594698195265895,9.86465271466127,16.43102279345252,23.77712800024647,39.277589291381965,21.20577452512004,21.521674394585776
eps_cagr_5yr,3.5558153809400497,9.334453539241373,14.869835499703509,22.05389168656197,31.639008770631808,19.081287323942483,20.165989053690335
operating_profit_margin_pct,9.837909494446341,16.008217692276524,25.833656455990695,40.154298741775634,84.04312668463612,34.668914632997186,27.512220711640186
net_profit_margin_pct,4.619194610984474,7.24774515132234,14.208254232549017,20.34900889030226,29.24548245324143,20.015917582704326,45.182887413385615
dividend_payout_ratio_pct,2.0,14.0,25.0,44.0,64.60000000000001,29.89887640449438,29.745146641480638
